出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類
"1120831","3523","迎輝","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120511","174635",""
"1120831","3526","凡甲","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120329","221432",""
"1120831","3527","聚積","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120418","151556",""
"1120831","3529","力旺","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120427","161930",""
"1120831","3531","先益","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120321","102446",""
"1120831","3537","堡達","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120503","91208",""
"1120831","3540","曜越","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120321","104948",""
"1120831","3541","西柏","常會","1120606","1120408","1120606","","","","","","","0","0","","0","1120411","174100",""
"1120831","3546","宇峻","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120330","103125",""
"1120831","3548","兆利","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120418","184704",""
"1120831","3551","世禾","常會","1120607","1120409","1120607","","","","","","","0","0","","0","1120315","110637",""
"1120831","3552","同致","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120508","111035",""
"1120831","3555","博士旺","常會","1120531","1120402","1120531","","","","","0","0.00","0","0","","0","1120328","160134",""
"1120831","3556","禾瑞亞","常會","1120607","1120409","1120607","","","","","","","0","0","","0","1120223","153119",""
"1120831","3558","神準","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120417","180009",""
"1120831","3564","其陽","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120324","101014",""
"1120831","3567","逸昌","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120321","222130",""
"1120831","3570","大塚","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120509","111726",""
